Partition,Algorithm,User,TestTime,NAttempted,NGood,Coverage,Predict.nDCG,Predict.nDCG.Raw,TopN.nDCG,AvgPrec,Rank,RecipRank
5,lucene,21050,0.063,5,5,1.0,0.9831260589572994,11.44253606521631,0.0,0.0,,0.0
5,lucene,21280,0.184,5,5,1.0,0.8536057271428187,11.100410409469312,0.036205219313118514,0.05263157894736842,19,0.05263157894736842
5,lucene,21401,0.034,5,5,1.0,0.925655160122356,14.177101804652795,0.0,0.0,,0.0
5,lucene,22074,0.151,5,5,1.0,0.9572270685462846,10.50028381172028,0.0,0.0,,0.0
5,lucene,22245,0.041,5,5,1.0,0.9947661599092228,12.44253606521631,0.0,0.0,,0.0
5,lucene,22352,0.17400000000000002,5,5,1.0,0.9629021914693489,14.777228402401827,0.0,0.0,,0.0
5,lucene,24797,0.338,5,5,1.0,0.9662670221772593,16.30803155822425,0.0674484386608322,0.047619047619047616,21,0.047619047619047616
5,lucene,25268,0.128,5,5,1.0,1.0,13.319607253646886,0.0,0.0,,0.0
5,lucene,25645,0.099,5,5,1.0,1.0,13.815748688506009,0.0,0.0,,0.0
5,lucene,26022,0.076,5,4,0.8,0.8316109456986622,11.642789260714373,0.0,0.0,,0.0
5,lucene,26222,0.135,5,5,1.0,0.9611954054320678,12.385072130432615,0.0,0.0,,0.0
5,lucene,27142,0.042,5,5,1.0,0.9917543271513191,16.2117635256161,0.10195830182038851,0.125,8,0.125
5,lucene,27456,0.084,5,4,0.8,0.8910499491931113,14.089183891071558,0.0,0.0,,0.0
5,lucene,27474,0.058,5,4,0.8,0.8058955494926149,11.27371901428583,0.10331819373413702,0.09090909090909091,11,0.09090909090909091
5,lucene,27579,0.08700000000000001,5,5,1.0,0.9839351134072948,15.31189012336513,0.14652126541514796,0.1,10,0.1
5,lucene,27731,0.11800000000000001,5,5,1.0,0.9463718739663906,13.235198728181647,0.0,0.0,,0.0
5,lucene,27898,0.158,5,5,1.0,0.9221177295444809,12.25028381172028,0.0,0.0,,0.0
5,lucene,28176,0.14100000000000001,5,5,1.0,0.9978750640973449,16.27722840240183,0.08702804732005627,0.1111111111111111,9,0.1111111111111111
5,lucene,32234,0.108,5,5,1.0,1.0,14.135072130432615,0.0,0.0,,0.0
5,lucene,32780,0.149,5,4,0.8,0.9293317001666953,11.327324383928644,0.0,0.0,,0.0
5,lucene,33003,0.092,5,5,1.0,0.9284955465701923,12.135072130432615,0.0,0.0,,0.0
5,lucene,33860,0.066,5,5,1.0,0.9724371934881971,13.711763525616098,0.07450833767528012,0.07142857142857142,14,0.07142857142857142
5,lucene,34494,0.137,5,5,1.0,0.9871407773054001,14.16587528625504,0.0,0.0,,0.0
5,lucene,35050,0.152,5,5,1.0,0.9359493350178875,10.565748688506009,0.0,0.0,,0.0
5,lucene,35259,0.106,5,5,1.0,1.0,14.350410409469312,0.0,0.0,,0.0
5,lucene,35613,0.089,5,5,1.0,0.8892039936138105,9.815748688506009,0.0,0.0,,0.0
5,lucene,38256,0.032,5,5,1.0,0.9842236972146419,15.596551844328435,0.0,0.0,,0.0
5,lucene,39714,0.13,5,5,1.0,0.9384910730490699,12.031086967542706,0.11700826478699528,0.125,8,0.125
