Partition,Algorithm,BlendWeight,User,TestTime,NAttempted,NGood,Coverage,RMSE,Predict.nDCG,Predict.nDCG.Raw,TopN.nDCG,AvgPrec,Rank,RecipRank
5,lucene,,88394,0.09,5,5,1.0,0.3519105225020272,0.977352619198191,10.788804097824462,0.08844257956995219,0.08333333333333333,12,0.08333333333333333
5,lucene,,88857,0.07200000000000001,5,5,1.0,0.41857409489859687,1.0,16.87735500015086,0.0,0.0,,0.0
1,ii,,370,0.268,5,5,1.0,0.6976126209442134,0.9698517869693858,13.369354058148824,0.0,0.0,,0.0
5,lucene,,90145,0.062,5,5,1.0,0.8230344086396325,0.9456367034769986,14.184818934934553,0.0,0.0,,0.0
5,lucene,,91478,0.08,5,5,1.0,0.7754911417066899,1.0,13.034945532683583,0.0,0.0,,0.0
5,lucene,,92106,0.068,5,5,1.0,0.8633348438459257,0.9538842685970093,13.927101804652795,0.05975292087517671,0.041666666666666664,24,0.041666666666666664
1,ii,,1387,0.23600000000000002,5,5,1.0,1.150449438410961,0.9800817171018268,14.196678442077467,0.0,0.0,,0.0
5,lucene,,92814,0.06,5,5,1.0,0.8615720026816599,0.9883079906093905,16.927101804652793,0.0,0.0,,0.0
5,lucene,,92882,0.07,5,5,1.0,0.7801592989280023,0.9759569785703663,14.98134016304077,0.07667837767432588,0.05263157894736842,19,0.05263157894736842
5,lucene,,93705,0.084,5,4,0.8,0.591536796955093,0.8571189231014095,11.142789260714373,0.0,0.0,,0.0
5,lucene,,94462,0.042,5,3,0.6,0.6775475637024574,0.7459307012119912,10.839183891071558,0.06881797640008937,0.0625,16,0.0625
